,,,,LGGE Grenoble,,,,University of Bern,,,,University of Bern,,,,,LGGE Grenoble,,,,University of Bern,,,,,LGGE Grenoble,,,,University of Bern,,,,,,University of Bern,,,,,,Oregon State University,,,,,LGGE Grenoble,,,,,LGGE Grenoble,,,,,University of Bern,,,,,University of Bern,,,,,CSIRO Australia,,Oregon State University,,,,University of Bern,,,,,,CSIRO Australia,,,,,,,,Oregon State University,,,,Oregon State University,,,,,Oregon State University,,,,University of Bern,,,,,,
"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),tentatively synchronized on EDC3 gasage (yr),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),Depth (m),"Gasage (TALDICE-1a, yr BP)","Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,Depth (m),"Age (Ahn et al., 2008)",tentatively synchronized on AICC2012 based on synchronization applied in Bereiter et al. (2012),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),"Gasage (MacFarling Meure et al., 2006, yr BP)",CO2 (ppmv),Depth (m),"Gasage (WDC06A-7, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (EDML1 Sz4, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Reference,Site code,Sample type,Depth (m),"Gasage (Rubino et al., 2013, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (tuned to GICC05/AICC2012 by Ahn et al. (2014), yr BP)",CO2 (ppm),sigma mean CO2 (ppmv),depth (m),"Gasage (tuned to GICC05/AICC2012 by Ahn et al. (2014), yr BP)",age uncertianty (yr),CO2 (ppm),uncertainty (ppm),Depth (m),"Gasage (WDC06A-7, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),Depth (m),"Gasage (AICC2012, yr BP)",corrected CO2 (ppmv),analytical sigma mean CO2 (ppmv),Correcting Factor (ppmv),lower bound (2 sigma) of correction F. (ppmv),upper bound (2 sigma) of correction F. (ppmv)
,,,,3057.71,317734,318852.59500000003,245.2,,,,,3040.53,629446,629139.6181818187,198.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,387.1,559.6678999999999,281.1317016084328,0.6349807359535701,,,,,,,,,,,,2467.313833333333,18582.943,192.57060817148658,0.6179556385846688,3140.542,737269.8193939395,206.92018121563933,1.5556306173987606,6.659706459999995,5.53,7.7789
,,,,3060.51,318559,319829.6600000001,233.4,,,,,3040.92,630295,629861.4727272732,199.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,405.7,601.1501000000001,278.3621212274177,0.4125669035764293,278.3621212274177,0.4125669035764293,,,,,,,,,,2470.284375,18677.396,197.90294365325792,0.5018461940485749,3140.8755,737660.1154545457,204.51910387695122,1.494086940454806,6.67909281499999,5.5449,7.8028
,,,,3063.51,319480,320916.3350000001,255.8,,,,,3041.65,632001,631532.0909090914,199.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,413.99,619.8800000000001,284.0676432722511,0.6350206618825793,284.0676432722511,0.6350206618825793,,,,,,,,,,2472.4465,18747.045,195.27099266967372,1.0138678790995133,3141.657,738580.9945454549,191.7441063146352,0.9268977898068326,6.724521409999994,5.5795,7.859
,,,,3066.51,320358,321817.44500000007,249.2,,,,,3042.01,632856,632362.7090909099,195.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,423.1,642.5527999999999,281.5784089788515,0.9417754697627618,281.5784089788515,0.9417754697627618,,,,,,,,,,2474.2735000000002,18803.635,196.9746062473733,1.0994077802463795,3142.1205,739174.5554545455,185.6096600660596,0.3341665308131939,6.751464664999986,5.5999,7.8925
,,,,3072.51,322015,323383.34500000003,257.2,,,,,3042.74,634592,634068.3151515148,192.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,435.47,671.8032000000001,278.4312489162189,0.4125683289579309,278.4312489162189,0.4125683289579309,,,,,,,,,,2475.2818333333335,18835.152,192.43646889385016,0.822752675659307,3142.8481999999995,740106.4524848479,185.40236646163788,2.3842786702936385,6.793765865999973,5.6317,7.9453
,,,,3075.41,322767,324166.915,260.4,,,,,3043.12,635489,635002.8848484848,193.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,443.53,690.4929,282.199286054067,0.941781148411328,282.199286054067,0.941781148411328,,,,,,,,,,2476.2745,18866.913,192.49917580509657,0.5266764309515646,3143.125,740460.9242424242,183.39253921478078,2.4034392529053266,6.809856249999996,5.6437,7.9654
,,,,3078.51,323526,325007.4050000001,260.3,,,,,3043.74,636957,636527.7090909086,193,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,447.17,698.7306000000001,282.41311047504325,0.6349981111551107,282.41311047504325,0.6349981111551107,,,,,,,,,,2480.287,18993.816,196.7099140092297,1.7470090692053926,3143.857,741329.9024242423,184.76708470912362,2.0713820159601886,6.852407409999984,5.6753,8.0189
,,,,3081.6,324280,325823,260.5,,,,,3044.22,638127,637708.2181818177,194.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,463.02,739.0450000000001,283.68828915610504,0.9417948179160088,283.68828915610504,0.9417948179160088,,,,,,,,,,2485.2725,19152.786,195.08550485764974,1.121009894025455,3144.3230000000003,741874.1339393943,189.1426274551468,1.3085340532343355,6.879495990000009,5.6953,8.0531
,,,,3084.51,324971,326591.0900000001,266.2,,,,,3044.93,639848,639424.3030303025,187.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,467.69,750.1886,284.54004420226613,0.635027124576181,284.54004420226613,0.635027124576181,,,,,,,,,,2489.2825999999995,19282.155,195.58428202340798,0.8431811380039504,3144.9795,742644.7490909089,188.64664196412704,2.7074387385724004,6.917658334999999,5.7233,8.1014
,,,,3087.81,325720,327435.83499999996,264,,,,,3045.32,640760,640366.2121212124,189.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSS,ice,480.8,784.0183999999999,283.9659747066713,1.4116055223569104,283.9659747066713,1.4116055223569104,,,,,,,,,,2494.2715,19442.725,195.51661846127155,1.3004106764959464,3145.3225,743062.1696969698,187.3271928405565,0.7156315365533596,6.937596925000008,5.7379,8.1267
