,year,ch4
298,-595983,495.6666667
299,-595323,465.0
300,-593950,448.3333333
301,-593158,463.0
302,-592512,538.6666667
303,-591387,509.6666667
304,-590203,483.0
305,-588430,428.3333333
306,-587885,480.3333333
307,-586664,468.0
308,-585595,451.2
309,-584416,470.3333333
310,-580955,482.4
311,-580024,488.3333333
312,-579114,484.3333333
313,-578373,505.0
314,-578004,520.6666667
315,-577787,608.7
316,-577199,618.3333333
317,-576641,601.6666667
318,-576100,602.0
319,-575582,578.9
320,-575051,596.6666667
321,-574552,584.0
322,-574039,589.3333333
323,-573572,580.5
324,-573097,600.0
325,-572646,605.0
326,-572197,619.5
327,-571749,598.4
328,-571311,613.3333333
329,-570899,612.0
330,-570475,614.0
331,-570050,603.8
332,-569652,610.3333333
333,-569228,594.0
334,-568816,597.0
335,-568418,579.8
336,-567997,587.6666667
337,-567598,589.0
338,-567208,590.0
339,-566820,588.5
340,-566429,613.0
341,-566037,615.0
342,-565642,603.3333333
343,-565268,620.0
344,-564888,626.0
345,-564501,618.0
346,-564107,627.0
347,-563734,576.5
348,-563335,589.3333333
349,-562958,581.3333333
350,-562571,579.0
351,-562184,549.5
352,-561780,554.0
353,-561393,528.6666667
354,-560968,532.3333333
355,-560549,494.6
356,-560137,497.0
357,-559692,486.0
358,-559452,483.6666667
359,-558972,464.3333333
360,-558500,510.6666667
361,-558291,515.6666667
362,-557811,501.3333333
363,-557289,492.3333333
364,-556745,467.9
365,-556227,442.6666667
366,-555723,442.6666667
367,-555222,495.6666667
368,-554777,530.6666667
369,-554168,575.3333333
370,-553664,577.6666667
371,-553172,557.3333333
372,-552629,519.4
373,-552016,500.6666667
374,-551369,471.3333333
375,-550729,431.3333333
376,-550369,443.0
377,-549988,490.8
378,-549146,477.3333333
379,-548353,472.0
380,-547504,456.3333333
381,-546586,433.5
382,-545583,390.0
383,-544707,408.6666667
384,-543499,418.3333333
385,-542398,426.5
386,-541241,404.6666667
387,-540029,408.0
388,-538845,391.0
389,-537668,399.6
390,-536984,415.3333333
391,-536460,448.0
392,-535778,467.3333333
393,-535287,496.6666667
394,-534187,490.3333333
395,-532968,449.4
396,-531900,458.0
397,-530766,422.3333333
398,-529680,420.3333333
399,-528618,449.8
400,-527623,440.6666667
401,-526750,463.6666667
402,-526243,519.6666667
403,-525928,518.3333333
404,-525140,528.9
405,-524364,541.0
406,-523635,538.0
407,-522872,533.6666667
408,-522127,517.8
409,-521366,533.6666667
410,-520639,516.0
411,-519954,535.0
412,-519310,521.9
413,-518647,524.0
414,-516721,499.1
415,-516095,512.3333333
416,-515467,507.3333333
417,-514821,508.0
418,-514453,501.3333333
419,-514178,477.4
420,-513807,482.6666667
421,-513544,519.3333333
422,-512855,507.0
423,-512168,496.3333333
424,-511447,488.3
425,-510716,486.0
426,-509975,487.0
427,-509239,495.0
428,-508491,519.6
429,-507714,533.3333333
430,-506956,556.6666667
431,-506165,582.0
432,-505449,573.2
433,-504741,601.3333333
434,-503998,579.3333333
435,-503205,524.0
436,-502529,566.4
437,-501854,549.0
438,-501088,515.3333333
439,-500298,517.3333333
440,-499620,521.9
441,-498826,511.6666667
442,-498068,495.6666667
443,-497326,499.3333333
444,-496576,509.1
445,-495823,506.0
446,-495059,516.3333333
447,-494322,521.6666667
448,-493563,514.3
449,-492788,495.6666667
450,-491993,517.0
451,-491212,500.0
452,-490438,500.5
453,-489656,534.3333333
454,-488880,584.0
455,-488164,558.3333333
456,-487433,587.5
457,-486693,624.0
458,-485982,615.3333333
459,-485269,583.3333333
460,-484505,582.6
461,-483767,568.6666667
462,-482970,543.0
463,-482155,543.6666667
464,-481326,516.4
465,-480457,506.6666667
466,-479602,504.3333333
467,-478687,491.6666667
468,-478134,503.6666667
469,-477759,531.1
470,-476752,496.0
471,-475725,528.0
472,-474821,517.0
473,-473833,504.1
474,-472781,474.6666667
475,-471723,456.0
476,-470675,440.0
477,-469662,481.8
478,-468522,482.3333333
479,-467473,442.6666667
480,-466429,429.6666667
481,-465727,491.3333333
482,-465120,490.9
483,-463719,442.0
484,-462299,447.6666667
485,-460896,491.3333333
486,-460139,463.0
487,-459597,521.4
488,-458767,424.3333333
489,-458209,408.6666667
490,-456941,398.0
491,-455474,408.3333333
492,-454060,412.4
493,-453290,434.0
494,-452735,467.6666667
495,-451942,486.0
496,-451474,426.3333333
497,-450249,402.6666667
498,-449151,383.7
499,-447962,381.0
500,-446738,388.6666667
501,-445664,427.3333333
502,-444981,506.3333333
503,-444629,474.3333333
504,-443811,452.0
505,-443273,408.6666667
