year,co2,unc,sigma
-2642,269.1,,0.6
-2697,269.8,,1.0
-2823,271.5,,0.8
-2971,270.7,,0.5
-3031,269.3,,1.0
-3136,268.6,,1.1
-3268,269.8,,1.2
-3361,267.6,,0.6
-3407,265.3,,1.7
-3583,265.2,,0.8
-3631,267.6,,2.0
-3807,265.9,,0.9
-3902,265.5,,0.8
-3984,260.7,,1.6
-4049,266.7,,0.9
-4139,265.5,,0.8
-4351,263.2,,0.6
-4387,262.7,,0.9
-4451,261.2,,0.7
-4622,261.1,,0.4
-4732,259.4,,0.6
-4819,262.1,,0.9
-4930,262.9,,0.5
-5020,258.1,,1.4
-5088,257.6,,0.9
-5238,262.3,,0.9
-5324,263.0,,0.7
-5455,260.7,,0.6
-5547,258.4,,0.8
-5711,260.1,,0.6
-5769,260.4,,0.4
-5910,259.7,,0.9
-5976,259.2,,0.7
-6025,260.8,,1.4
-6166,259.6,,0.5
-6244,259.3,,0.9
-6401,258.3,,1.2
-6509,261.3,,0.9
-6596,260.7,,0.4
-6760,261.8,,1.0
-6831,259.0,,1.1
