year,rain
1941,161.6
1941,120.9
1941,81.2
1941,33.4
1941,68.9
1941,15.1
1941,71.3
1941,57.2
1941,19.5
1941,90.7
1941,213.6
1941,36.1
1942,154.0
1942,28.0
1942,117.2
1942,55.5
1942,89.8
1942,8.5
1942,73.0
1942,102.5
1942,106.0
1942,39.1
1942,14.9
1942,154.3
1943,220.0
1943,36.7
1943,35.8
1943,44.3
1943,106.3
1943,55.4
1943,74.6
1943,101.5
1943,103.3
1943,133.7
1943,56.0
1943,64.8
1944,115.9
1944,33.1
1944,10.5
1944,82.1
1944,18.4
1944,32.8
1944,100.5
1944,46.4
1944,126.7
1944,132.6
1944,158.1
1944,117.3
1945,126.7
1945,112.7
1945,30.6
1945,33.7
1945,89.0
1945,118.8
1945,81.4
1945,88.2
1945,82.1
1945,91.5
1945,34.2
1945,134.9
1946,133.4
1946,44.7
1946,71.0
1946,36.7
1946,83.7
1946,90.8
1946,67.4
1946,150.6
1946,154.0
1946,75.8
1946,147.1
1946,137.9
1947,165.4
1947,87.9
1947,242.2
1947,79.6
1947,125.1
1947,170.6
1947,89.5
1947,24.6
1947,54.6
1947,34.2
1947,94.7
1947,97.7
1948,251.4
1948,72.7
1948,57.7
1948,37.0
1948,51.8
1948,81.1
1948,60.9
1948,102.9
1948,66.9
1948,93.4
1948,99.0
1948,182.7
1949,40.4
1949,43.7
1949,53.9
1949,69.9
1949,53.8
1949,20.6
1949,44.9
1949,95.6
1949,41.3
1949,148.8
1949,84.5
1949,55.2
1950,45.2
1950,132.0
1950,62.6
1950,82.1
1950,25.3
1950,58.3
1950,88.9
1950,153.1
1950,154.7
1950,84.7
1950,77.4
1950,90.4
1951,148.6
1951,93.6
1951,91.3
1951,45.3
1951,59.9
1951,36.2
1951,27.4
1951,164.0
1951,135.8
1951,31.4
1951,169.9
1951,138.6
1952,85.2
1952,13.1
1952,75.0
1952,90.8
1952,68.9
1952,53.8
1952,28.4
1952,101.7
1952,41.0
1952,145.3
1952,73.6
1952,75.0
1953,29.1
1953,44.9
1953,20.1
1953,90.7
1953,65.5
1953,39.5
1953,134.4
1953,76.9
1953,87.7
1953,80.6
1953,103.3
1953,70.6
1954,59.5
1954,96.2
1954,94.7
1954,33.2
1954,117.9
1954,44.8
1954,58.4
1954,57.0
1954,107.7
1954,127.4
1954,156.2
1954,83.7
1955,136.1
1955,96.8
1955,54.7
1955,54.4
1955,74.1
1955,136.9
1955,10.9
1955,41.2
1955,62.8
1955,45.4
1955,107.5
1955,156.6
1956,119.4
1956,31.3
1956,60.9
1956,16.2
1956,37.6
1956,88.4
1956,119.7
1956,147.2
1956,144.3
1956,38.8
1956,55.0
1956,169.3
1957,93.5
1957,89.1
1957,151.1
1957,26.8
1957,53.7
1957,67.8
1957,76.6
1957,101.0
1957,226.8
1957,105.3
1957,47.3
1957,110.3
1958,119.7
1958,104.9
1958,90.3
1958,35.9
1958,153.6
1958,117.7
1958,122.3
1958,142.7
1958,153.2
1958,43.9
1958,84.5
1958,125.4
1959,102.2
1959,24.4
1959,91.8
1959,65.8
1959,47.8
1959,48.4
1959,39.2
1959,13.2
1959,17.0
1959,134.5
1959,112.8
1959,186.5
1960,91.6
1960,89.6
1960,93.2
1960,77.7
1960,49.8
1960,48.8
1960,138.3
1960,110.4
1960,120.6
1960,207.3
1960,190.7
1960,102.8
1961,147.9
1961,85.0
1961,4.3
1961,162.9
1961,44.9
1961,41.1
1961,83.7
1961,52.9
1961,104.9
1961,116.3
1961,72.3
1961,92.7
1962,95.7
1962,16.7
1962,108.3
1962,36.4
1962,76.1
1962,40.2
1962,101.3
1962,104.3
1962,122.6
1962,39.9
1962,75.7
1962,74.7
1963,24.0
1963,99.7
1963,131.1
1963,93.7
1963,56.7
1963,64.3
1963,51.2
1963,96.2
1963,61.1
1963,108.0
1963,196.9
1963,54.6
1964,25.5
1964,67.9
1964,158.1
1964,71.8
1964,66.2
1964,97.1
1964,59.4
1964,95.1
1964,54.3
1964,40.7
1964,48.3
1964,117.8
1965,98.2
1965,4.7
1965,91.7
1965,62.9
1965,62.9
1965,119.0
1965,115.3
1965,64.2
1965,110.9
1965,50.2
1965,173.6
1965,148.4
1966,131.6
1966,196.4
1966,37.2
1966,188.9
1966,63.0
1966,100.4
1966,45.4
1966,90.5
1966,85.3
1966,226.0
1966,72.8
1966,46.5
1967,67.4
1967,100.6
1967,26.0
1967,30.5
1967,160.5
1967,13.9
1967,92.0
1967,84.9
1967,126.6
1967,149.7
1967,81.3
1967,39.1
1968,100.4
1968,39.8
1968,57.6
1968,84.6
1968,48.5
1968,51.6
1968,38.4
1968,66.9
1968,155.0
1968,120.9
1968,147.5
1968,138.9
1969,192.6
1969,32.5
1969,85.0
1969,53.2
1969,114.3
1969,37.9
1969,63.5
1969,43.2
1969,19.8
1969,20.7
1969,98.5
1969,96.7
1970,164.2
1970,79.5
1970,41.8
1970,64.6
1970,13.0
1970,29.4
1970,91.7
1970,80.5
1970,90.4
1970,22.7
1970,173.6
1970,48.8
1971,106.3
1971,30.1
1971,57.7
1971,47.1
1971,52.7
1971,67.0
1971,64.6
1971,89.9
1971,27.4
1971,72.8
1971,50.9
1971,81.6
1972,171.7
1972,113.5
1972,67.2
1972,50.4
1972,95.5
1972,66.6
1972,64.7
1972,34.4
1972,9.8
1972,79.4
1972,121.7
1972,124.0
1973,86.9
1973,43.1
1973,22.3
1973,35.2
1973,125.6
1973,19.5
1973,39.8
1973,95.8
1973,119.9
1973,65.2
1973,104.3
1973,109.4
1974,187.4
1974,96.1
1974,52.6
1974,28.1
