year,co2,ch4,temp
1929,305.66786848134046,0.0,-54.65
1928,308.01874186181465,0.0,-54.55
1928,308.01874186181465,0.0,0.0
1926,304.96915678718324,0.0,-54.55
1925,304.7159146968185,0.0,-54.83
1923,303.1815383191544,0.0,-54.69
1923,306.1986242999216,0.0,-54.69
1920,301.8758603769565,0.0,-54.72
1920,301.8758603769565,0.0,0.0
1919,304.61320734820134,0.0,-54.63
1918,303.85222132002366,0.0,-54.56
1916,301.9151507114715,0.0,-54.26
1915,300.7000886560916,0.0,-54.39
1913,301.29772622272134,0.0,-54.45
1912,299.25727749401767,0.0,-54.48
1912,299.25727749401767,0.0,-53.62
1912,297.7268153632511,0.0,-54.48
1912,297.7268153632511,0.0,-53.62
1911,298.10624698316605,0.0,-54.59
1910,297.86910679162327,0.0,-54.49
1909,301.5041354046444,0.0,-54.42
1906,299.62686294971274,0.0,-54.34
1906,297.32821856127947,0.0,-54.34
1906,299.0235966178361,0.0,-54.34
1904,295.9913578166476,0.0,-54.64
1904,295.9913578166476,0.0,-52.66
1902,295.6106368299745,0.0,-54.34
1901,294.2207216000332,0.0,-54.51
1899,297.0473645165553,0.0,-54.37
1899,295.2814574829282,0.0,-54.37
1894,293.80883068272027,0.0,-54.72
1894,293.16654166689625,0.0,-54.72
1894,295.3164626735822,0.0,-54.72
1893,294.8594308441452,0.0,-54.52
1893,295.17192926023625,0.0,-54.52
1890,290.9175394046256,0.0,-54.37
1890,292.3423879392772,0.0,-54.37
1888,294.34178746728605,0.0,-54.37
1886,288.1157636999787,0.0,-54.44
1886,288.1157636999787,0.0,-54.15
1885,289.2265988139854,0.0,-54.52
1884,289.7624132149648,0.0,-54.43
1883,292.46393479402104,0.0,-54.39
1880,287.7707291897673,0.0,-54.4
1877,289.3281310647417,0.0,-54.48
1877,289.3281310647417,0.0,-54.92
1874,291.5581974658393,0.0,-54.49
1873,286.6550967370638,0.0,-54.54
1871,286.32578146070443,0.0,-54.44
1870,287.9864944292303,0.0,-54.42
1869,289.53614491302415,0.0,-54.41
1869,289.53614491302415,0.0,-54.45
1868,287.9922513016967,0.0,-54.43
1867,285.05229227816864,0.0,-54.48
1865,286.654158160582,0.0,-54.48
1863,285.3533187571561,0.0,-54.47
1862,287.17456217295097,0.0,-54.45
1859,286.6330756116753,0.0,-54.47
1857,283.16210074754474,0.0,-54.53
1855,285.56557722684016,0.0,-54.41
1854,288.05443747992655,0.0,-54.49
1852,285.4658308627274,0.0,-54.49
1851,288.7903954001126,0.0,-55.02
1851,284.00163402345765,0.0,-55.02
1848,286.839237474432,0.0,0.0
1846,283.6198856894272,0.0,0.0
1845,283.1828720355646,0.0,0.0
1845,283.5311237194569,0.0,0.0
1844,281.58148260537183,0.0,0.0
1841,283.6545457229947,0.0,-53.71
1837,284.151983964357,0.0,0.0
1834,283.82039231033946,0.0,0.0
1833,285.0861666968484,0.0,0.0
1827,285.90893992625405,0.0,0.0
1825,281.3603652847592,0.0,0.0
1814,284.43128758236145,0.0,0.0
1800,282.7995518984052,0.0,-54.9
1797,280.4044366600032,0.0,0.0
1796,282.3047106620081,0.0,0.0
1795,281.6171179507893,0.0,0.0
1781,273.07371696468044,0.0,0.0
1780,280.2362981843688,0.0,0.0
1774,277.8559524780317,0.0,0.0
1764,276.3961020284933,0.0,0.0
1763,277.15568662096365,0.0,0.0
1753,278.00200109884094,0.0,0.0
1752,276.4573287163011,0.0,0.0
1750,277.6000738939942,0.0,0.0
1742,276.8090000432731,682.7,0.0
1734,278.3109424912346,0.0,0.0
1724,277.01330979867544,0.0,0.0
1723,278.27011023020174,0.0,0.0
1695,277.35805088594464,0.0,-54.52
1690,276.3246167739362,0.0,0.0
1682,276.6596678045921,0.0,0.0
1650,278.0152295252318,0.0,0.0
1640,276.6872122505445,0.0,0.0
1629,273.7807623120456,0.0,0.0
1610,271.1090304670288,0.0,0.0
1604,275.066577843599,0.0,-54.47
1591,279.3568610690018,0.0,0.0
1589,281.10892823134105,0.0,0.0
1574,282.5698274885973,0.0,0.0
1560,281.82904146165555,0.0,0.0
1550,283.5296825674026,0.0,0.0
1530,283.94789036843633,0.0,0.0
1502,283.1247803916497,0.0,0.0
1470,280.3125047226672,0.0,0.0
1450,282.22658040584827,0.0,0.0
1429,279.7256958832981,0.0,0.0
1411,279.6965499485699,667.8,0.0
1391,280.9115788303861,0.0,0.0
1349,278.3621212274177,0.0,0.0
1331,284.0676432722511,0.0,-53.04
1308,281.5784089788515,0.0,0.0
1279,278.4312489162189,0.0,0.0
1260,282.199286054067,0.0,0.0
1252,282.41311047504325,0.0,0.0
1211,283.68828915610504,0.0,0.0
1200,284.54004420226613,0.0,0.0
1166,283.9659747066713,0.0,0.0
1147,284.510584449478,0.0,0.0
1116,282.8416314024614,0.0,0.0
1100,283.0944582572788,0.0,0.0
1071,282.8444160166049,0.0,0.0
1050,280.9667443357615,0.0,0.0
1041,280.9161701585891,0.0,0.0
1020,280.06452973881244,0.0,0.0
1018,279.7987034131486,0.0,0.0
983,278.7402401551619,0.0,0.0
958,277.4071684030988,0.0,0.0
915,280.10552589040225,0.0,0.0
876,279.42044060983585,0.0,-55.25
823,278.62300321449914,0.0,0.0
794,279.72469920818,0.0,0.0
763,279.29371083930937,0.0,0.0
731,279.9902637416671,0.0,0.0
702,277.098940914164,0.0,0.0
670,278.45496800258206,0.0,0.0
637,279.58805021854124,0.0,0.0
615,277.86971612986054,0.0,0.0
583,276.19603745957005,0.0,0.0
558,278.4608975547629,0.0,0.0
552,276.5590465243607,0.0,0.0
518,276.789519068584,0.0,0.0
489,277.1056915049757,0.0,0.0
437,279.9999146746923,0.0,0.0
407,279.12520908544417,0.0,0.0
385,277.24691789826335,0.0,0.0
358,277.79537780888165,0.0,0.0
318,281.692138914424,0.0,0.0
296,280.9089598541969,0.0,-55.74
275,280.2444922059889,0.0,0.0
267,278.31439989271746,0.0,0.0
241,280.2490871903012,0.0,0.0
175,277.55589209790946,617.6147798,0.0
154,278.0719954240161,0.0,0.0
136,278.1,0.0,0.0
104,277.5,0.0,0.0
56,277.4,0.0,0.0
30,277.9,0.0,0.0
1,276.7,0.0,0.0
-49,278.0,0.0,0.0
-143,276.9,0.0,0.0
-284,276.7,0.0,0.0
-315,276.7,0.0,0.0
-464,277.6,0.0,0.0
-576,277.9,0.0,0.0
-678,273.9,0.0,0.0
-758,278.9,0.0,0.0
-851,275.3,0.0,-54.49
-954,274.7,0.0,0.0
-998,276.3,0.0,0.0
-1106,274.6,0.0,0.0
-1305,276.3,0.0,0.0
-1333,273.1,0.0,0.0
-1481,274.0,0.0,0.0
-1578,275.0,0.0,0.0
-1694,273.4,0.0,0.0
-1743,273.0,0.0,0.0
-1856,271.5,0.0,0.0
-1906,275.4,0.0,0.0
-2018,274.9,0.0,0.0
-2158,271.7,0.0,0.0
-2255,271.6,0.0,0.0
-2325,272.8,0.0,0.0
-2392,271.5,0.0,0.0
-2544,271.1,0.0,0.0
-2642,269.1,0.0,0.0
-2697,269.8,0.0,0.0
-2823,271.5,0.0,0.0
-2971,270.7,0.0,0.0
-3031,269.3,0.0,0.0
-3136,268.6,0.0,0.0
-3268,269.8,0.0,0.0
-3361,267.6,0.0,0.0
-3407,265.3,0.0,0.0
-3583,265.2,0.0,0.0
-3631,267.6,0.0,0.0
-3807,265.9,0.0,0.0
-3902,265.5,0.0,0.0
-3984,260.7,0.0,0.0
-4049,266.7,0.0,0.0
-4139,265.5,0.0,0.0
-4351,263.2,0.0,0.0
-4387,262.7,0.0,0.0
-4451,261.2,0.0,0.0
-4622,261.1,0.0,0.0
-4732,259.4,0.0,0.0
-4819,262.1,0.0,0.0
-4930,262.9,0.0,0.0
-5020,258.1,0.0,0.0
-5088,257.6,0.0,0.0
-5238,262.3,0.0,0.0
-5324,263.0,0.0,0.0
-5455,260.7,611.7,0.0
-5547,258.4,609.7,0.0
-5711,260.1,0.0,0.0
-5769,260.4,0.0,0.0
-5910,259.7,0.0,0.0
-5976,259.2,0.0,0.0
-6025,260.8,0.0,0.0
-6166,259.6,0.0,0.0
-6244,259.3,0.0,0.0
-6401,258.3,0.0,0.0
-6509,261.3,0.0,0.0
-6596,260.7,0.0,0.0
-6760,261.8,0.0,0.0
-6831,259.0,0.0,0.0
-6961,260.9,0.0,0.0
-7042,260.4,0.0,0.0
-7110,259.3,0.0,0.0
-7193,262.0,0.0,0.0
-7345,263.7,0.0,0.0
-7411,263.8,0.0,0.0
-7486,265.2,0.0,0.0
-7568,260.6,0.0,0.0
-7574,260.9,0.0,0.0
-7605,263.0,0.0,0.0
-7623,263.8,0.0,0.0
-7951,264.4,0.0,-54.35
-8042,264.2,0.0,0.0
-8184,264.0,0.0,-54.07
-8242,263.4,0.0,0.0
-8349,265.7,0.0,0.0
-8416,264.9,0.0,0.0
-8555,267.5,0.0,0.0
-8730,266.9,0.0,0.0
-8851,266.0,0.0,0.0
-8885,265.1,0.0,0.0
-9004,267.6,0.0,0.0
-9139,264.8,0.0,0.0
-9211,264.8,0.0,0.0
-9235,265.0,0.0,0.0
-9250,265.3,0.0,0.0
-9306,264.4,0.0,0.0
-9366,264.1,0.0,0.0
-9389,264.8062514925239,0.0,0.0
-9433,264.8396344162771,0.0,0.0
-9449,268.1638827775123,0.0,0.0
-9467,264.4831386910426,0.0,0.0
-9485,270.14345909208504,0.0,0.0
-9503,268.86948241809176,0.0,0.0
