year,co2
-67642,211.2583877926514
-68102,215.55081317503786
-68477,220.32661122546068
-68978,225.17215906542418
-69329,235.01577011604033
-69743,237.5634446299485
-70142,239.45635365708617
-70540,232.79086554237838
-70916,232.33476105332247
-71269,230.89095840633553
-71800,232.73507960739272
-72271,231.3339802376306
-72575,241.2403946279206
-73117,243.27000593612678
-73595,249.52367746086176
-73900,249.93957236494836
-74297,239.34140543854346
-74746,238.01317290414426
-75106,231.68344444807624
-75665,224.91795384960736
-76130,226.64717080896844
-76557,224.1427524434798
-77019,227.2993454606292
-77460,229.25533496544978
-77927,234.74268285165846
-78380,230.60058478694174
-78771,233.92301778529907
-79256,230.32953997112173
-79761,234.13416436720672
-80118,238.88896579028287
-80576,240.87295493897983
-81038,246.32246412221588
-81604,247.1003682352176
-81990,250.78745315401204
-82407,243.16072770547603
-82986,238.42310352799862
-83417,234.68610329976863
-83940,228.7630419503089
-84548,223.37741662402166
-85077,221.05561058442584
-85631,223.62974404078184
-86186,217.8009629500103
-86751,223.98941409211108
-87294,227.3783735355835
-87746,228.87834564758057
-88367,229.73738145870655
-88884,231.55865048827815
-89495,231.12075636405777
-89999,233.74184029367558
-90717,232.45568865935815
-91474,235.1600042216258
-91873,238.20709532731436
-92618,242.40636016295775
-93284,242.91411717720837
-93971,246.19646528867355
-94524,245.7647295013877
-95320,242.35406601147713
-95977,239.85849997327506
-96633,243.17988778616598
-97411,242.98971287919505
-98126,245.62557787811392
-98593,247.872113110669
-99375,244.762424566832
-100021,240.0715355271941
-100814,237.07327561500702
-101358,240.68407213384208
-102324,247.76162928794554
-102381,238.88
-103016,242.36
-103557,248.78
-104039,257.58
-104306,241.4
-104418,244.83
-105024,240.34
-106451,236.43
-107179,244.44
-107889,244.13
-108605,246.69
-109926,257.93
-110686,256.79
-110991,263.12
-111169,264.75
-111728,260.58
-112300,267.9
-112865,275.07
-113496,276.96
-113958,273.16
-114525,273.63
-115235,274.03
-115669,274.98
-116708,277.72
-117292,267.74
-117765,274.59
-118194,268.73
-118592,276.82
-119476,279.48
-119891,276.61
-120150,278.25
-120342,279.0
-121063,279.16
-121680,274.6
-122009,275.87
-122454,281.54
-122867,275.52
-123342,276.81
-124063,275.15
-124749,273.02
-125012,274.93
-125363,275.78
-125553,276.88
-126074,276.03
-126222,280.72
-126516,285.76
-126928,271.08
-127128,268.44
-127705,260.61
-128423,251.84
-128868,250.84
-129372,241.13
-130026,232.28
-130759,228.0
-130981,224.63
-131825,222.74
-132572,212.43
-134615,203.74
-135813,199.18
-136884,198.55
-137999,192.75
-140410,196.51
-141701,194.59
-142849,196.02
-144158,193.59
-146283,195.81
-147516,201.78
-148644,202.51
-149494,202.35
-151824,198.78
-152939,196.3
-154356,189.38
-156716,189.0
-157766,185.5
-158204,187.5
-161908,204.3
-162384,196.5
-164193,191.6
-164834,190.1
-165964,186.7
-166795,183.8
-167564,196.6
-169989,197.8
-172492,197.7
-173883,196.0
-174903,190.3
-175583,189.4
-175779,190.1
-177923,207.7
-179352,213.2
-180246,217.7
-181307,198.1
-182421,199.7
-184461,203.4
-186487,210.7
-187856,231.3
-189304,231.4
-190014,220.3
-191124,218.0
-193176,226.5
-193849,220.0
-195637,226.4
-196377,241.2
-196988,242.6
-199802,250.9
-200794,239.1
-201892,247.6
-203253,244.4
-203625,231.9
-203994,232.2
-204409,228.6
-204946,226.3
-205290,229.4
-205672,231.4
-206158,238.1
-206324,237.2
-206871,230.0
-207132,240.5
-207495,242.2
-208016,244.6
-208225,243.9
-208882,247.2
-209108,252.0
-209627,246.9
-210128,239.5
-210583,257.4
-211380,243.4
-212208,251.2
-213130,241.4
-213962,240.3
-214356,242.6
-214914,247.5
-215465,251.7
-215744,251.1
-216250,245.3
-217117,240.5
-218985,214.1
-219747,216.1
-220589,207.1
-221179,208.8
-222321,205.6
-224309,203.3
-224899,215.7
-225769,235.5
-226489,234.5
-226816,233.1
-227622,224.5
-229179,232.4
-230241,233.9
-230906,241.6
-234040,245.2
-234476,252.1
-234900,241.4
-235441,247.4
-235955,243.1
-236475,239.1
-237058,245.6
-237437,245.8
-237788,247.4
-238240,252.8
-239383,259.7
-239905,263.2
-240735,279.0
-241188,280.2
-242171,263.7
-242632,252.3
-243107,249.9
-243614,236.7
-244238,230.4
-244920,219.4
-247149,214.7
-249440,200.2
-250182,213.9
-251003,195.4
-251806,196.7
-252637,195.4
-254348,199.0
-255110,201.9
-255958,204.0
-257446,203.9
-258944,209.6
-259343,205.7
-260104,208.9
-260867,214.6
-262633,228.1
-264184,199.9
-265057,211.7
-266307,188.7
-267045,187.2
-267990,194.2
-269086,198.8
-270199,184.7
-271215,190.4
-272214,193.9
-273204,194.1
-274307,198.4
-275493,193.2
-276640,202.2
-277669,204.5
-278608,211.0
-279450,215.3
-280642,223.7
-282484,231.3
-283981,228.0
-284659,226.4
-285493,231.4
-285870,230.4
-286336,231.0
-288234,234.9
-288913,220.4
-289612,217.1
-290868,207.6
-291700,206.0
-292505,206.7
-293414,212.7
-294878,213.1
-296754,217.1
-297426,224.4
-298165,231.0
-299075,236.1
-300134,239.0
-301166,236.0
-302150,240.2
-303149,240.7
-303828,250.2
-304631,248.6
-305513,244.8
-306375,225.8
-307473,227.8
-308060,226.2
-308826,233.2
-309720,237.8
-310643,239.0
-311393,241.9
-312101,251.6
-312886,256.7
-313707,257.1
-314500,246.8
-315199,272.6
-315982,251.6
-316902,245.2
-317879,233.4
-318966,255.8
-319867,249.2
-321433,257.2
-322216,260.4
-323057,260.3
-323873,260.5
-324641,266.2
-325485,264.0
-326136,266.1
-326820,270.1
-327464,271.9
-328103,275.1
-329343,265.0
-330194,271.7
-330848,272.6
-331550,273.1
-332047,282.4
-332399,289.1
-332593,288.4
-333152,298.6
-333757,278.1
-334427,285.8
-334917,278.6
-335566,270.5
-336263,255.7
-337041,241.9
-338033,239.6
-338785,234.2
-340841,250.1
-341973,200.7
-343050,205.2
-344370,204.8
-345594,211.9
-347189,220.3
-349726,221.1
-351224,216.2
-352462,209.4
-353867,209.2
-357060,193.0
-358733,186.1
-360617,185.8
-363240,201.2
-366115,206.3
-369435,201.9
-371507,199.9
-373254,214.7
-375084,224.6
-376810,229.6
-380981,227.0
-382607,240.0
-384333,239.1
-385874,246.8
-387460,245.8
-390337,258.1
-391027,259.5
-392053,273.6
-392956,260.7
-396325,276.3
-397976,277.1
-398760,283.2
-400190,283.1
-400909,275.7
-402363,276.5
-403112,280.5
-404592,279.6
-405332,285.6
-406868,284.5
-407648,274.7
-408503,282.6
-409397,283.5
-411308,274.9
-412260,264.9
