decade,maxt,mint
1960,13.642311239809613,6.273404160855432
1970,13.303404869521199,6.620358307416393
1980,13.483787051914016,6.606537677126228
1990,14.464779057656765,7.332847291868168
2000,14.51121880380268,7.8393135713751025
2010,14.32779684108092,7.6135824537764805
2020,14.367140433303343,7.201525250704596
