year,rain
1974,47.3
1974,62.5
1974,34.1
1974,101.1
1974,35.8
1974,120.8
1974,25.3
1974,48.2
1974,32.1
1975,80.2
1975,20.5
1975,37.3
1975,52.7
1975,37.9
1975,13.5
1975,30.2
1975,25.6
1975,103.8
1975,31.1
1975,57.5
1975,26.1
1976,59.5
1976,29.6
1976,52.8
1976,15.1
1976,59.0
1976,20.7
1976,59.8
1976,3.5
1976,155.8
1976,146.6
1976,40.4
1976,45.7
1977,58.3
1977,118.5
1977,50.4
1977,49.4
1977,15.5
1977,55.5
1977,28.1
1977,56.2
1977,47.0
1977,88.2
1977,50.9
1977,71.1
1978,53.7
1978,63.2
1978,44.1
1978,26.1
1978,19.4
1978,33.8
1978,43.6
1978,131.8
1978,43.6
1978,30.2
1978,64.6
1978,218.8
1979,66.4
1979,63.2
1979,77.9
1979,58.7
1979,88.3
1979,42.4
1979,21.9
1979,81.8
1979,30.1
1979,102.5
1979,44.7
1979,100.0
1980,116.4
1980,55.0
1980,77.2
1980,10.1
1980,35.1
1980,70.8
1980,35.9
1980,100.6
1980,80.6
1980,115.2
1980,45.6
1980,35.6
1981,37.4
1981,55.0
1981,81.9
1981,48.2
1981,106.8
1981,73.4
1981,37.1
1981,11.7
1981,99.2
1981,92.0
1981,49.3
1981,132.6
1982,45.2
1982,27.1
1982,54.3
1982,12.5
1982,42.7
1982,96.6
1982,6.2
1982,67.5
1982,89.5
1982,94.2
1982,123.5
1982,78.7
1983,62.1
1983,49.1
1983,61.2
1983,76.3
1983,88.1
1983,42.3
1983,9.7
1983,47.1
1983,79.5
1983,48.0
1983,20.5
1983,120.6
1984,89.9
1984,51.1
1984,58.4
1984,16.9
1984,30.5
1984,40.1
1984,20.1
1984,76.6
1984,70.8
1984,57.9
1984,86.4
1984,91.5
1985,61.2
1985,49.1
1985,69.8
1985,40.3
1985,83.7
1985,76.7
1985,101.2
1985,128.0
1985,30.2
1985,19.4
1985,32.8
1985,75.9
1986,105.6
1986,9.4
1986,56.4
1986,46.8
1986,65.8
1986,82.3
1986,65.2
1986,153.4
1986,3.1
1986,53.2
1986,92.0
1986,74.6
1987,32.7
1987,33.7
1987,52.5
1987,69.1
1987,28.7
1987,90.3
1987,32.0
1987,72.0
1987,59.3
1987,131.9
1987,45.0
1987,40.7
1988,107.7
1988,34.4
1988,85.1
1988,27.5
1988,75.3
1988,34.0
1988,84.0
1988,52.8
1988,37.5
1988,68.6
1988,20.8
1988,39.0
1989,29.5
1989,47.7
1989,49.0
1989,73.6
1989,22.5
1989,52.7
1989,10.4
1989,87.2
1989,31.3
1989,65.2
1989,30.8
1989,60.9
1990,76.4
1990,116.8
1990,13.3
1990,24.8
1990,48.2
1990,45.8
1990,33.3
1990,58.8
1990,16.2
1990,137.1
1990,62.5
1990,80.0
1991,73.6
1991,50.8
1991,71.9
1991,87.6
1991,4.7
1991,58.9
1991,28.5
1991,37.1
1991,49.9
1991,74.5
1991,55.7
1991,37.4
1992,33.3
1992,30.6
1992,67.8
1992,67.2
1992,34.5
1992,30.1
1992,65.6
1992,77.4
1992,70.9
1992,32.4
1992,64.9
1992,40.9
1993,62.6
1993,20.5
1993,22.1
1993,43.9
1993,161.4
1993,143.1
1993,58.2
1993,33.8
1993,101.5
1993,83.6
1993,37.8
1993,111.1
1994,71.9
1994,100.9
1994,71.4
1994,63.7
1994,64.3
1994,16.0
1994,63.1
1994,55.2
1994,93.3
1994,44.5
1994,59.9
1994,88.0
1995,113.0
1995,88.7
1995,45.7
1995,29.1
1995,38.7
1995,9.0
1995,50.8
1995,4.6
1995,42.6
1995,36.7
1995,147.6
1995,73.6
1996,92.5
1996,57.9
1996,71.2
1996,63.3
1996,78.5
1996,16.4
1996,41.7
1996,74.8
1996,18.4
1996,98.4
1996,105.6
1996,49.1
1997,15.9
1997,61.0
1997,10.9
1997,42.7
1997,68.2
1997,135.1
1997,47.6
1997,73.1
1997,18.4
1997,67.7
1997,97.3
1997,95.0
1998,86.2
1998,10.1
1998,66.3
